Away,Year,Date,MonthNo,DayNum,Time,Home,Week,Game,Weekday,AwayWL,HomeWL,AwayPts,HomePts,AwayMargin,HomeMargin,OT,Spread,vs. Line,Over/Under,OU Result
SEA,2013,2013-10-28,10,28,8:30,STL,8,8,Mon,W,L,14,9,5,-5,,-13,not covered,43.5,under
SFO,2013,2013-10-27,10,27,1:07,JAX,8,8,Sun,W,L,42,10,32,-32,,-14.5,covered,40,over
SFO,2013,2013-11-25,11,25,8:40,WAS,12,11,Mon,W,L,27,6,21,-21,,-5,covered,45.5,under
CAR,2013,2013-12-29,12,29,1:05,ATL,17,16,Sun,W,L,21,20,1,-1,,-5.5,not covered,46.5,under
NOR,2013,2013-11-03,11,3,1:04,NYJ,9,8,Sun,L,W,20,26,-6,6,,-5.5,not covered,45.5,over
CIN,2013,2013-10-13,10,13,1:02,BUF,6,6,Sun,W,L,27,24,3,-3,OT,-6,not covered,41,over
DEN,2013,2013-10-20,10,20,8:31,IND,7,7,Sun,L,W,33,39,-6,6,,-6,not covered,54.5,over
DEN,2013,2013-12-01,12,1,4:26,KAN,13,12,Sun,W,L,35,28,7,-7,,-6,covered,49.5,over
KAN,2013,2013-12-15,12,15,4:05,OAK,15,14,Sun,W,L,56,31,25,-25,,-6,covered,44,over
TAM,2013,2013-09-08,9,8,1:03,NYJ,1,1,Sun,L,W,17,18,-1,1,,-6,not covered,40,under
CAR,2013,2013-10-24,10,24,8:29,TAM,8,7,Thu,W,L,31,13,18,-18,,-6.5,covered,39,over
HOU,2013,2013-09-09,9,9,10:25,SDG,1,1,Mon,W,L,31,28,3,-3,,-6.5,not covered,44,over
NWE,2013,2013-12-01,12,1,1:02,HOU,13,12,Sun,W,L,34,31,3,-3,,-6.5,not covered,49,over
DEN,2013,2013-11-10,11,10,4:25,SDG,10,9,Sun,W,L,28,20,8,-8,,-7,covered,56,under
NOR,2013,2013-11-21,11,21,8:30,ATL,12,11,Thu,W,L,17,13,4,-4,,-7,not covered,52.5,under
NOR,2013,2013-12-15,12,15,4:25,STL,15,14,Sun,L,W,16,27,-11,11,,-7,not covered,47.5,under
PHI,2013,2013-12-15,12,15,1:02,MIN,15,14,Sun,L,W,30,48,-18,18,,-7,not covered,53,over
PHI,2013,2013-12-29,12,29,8:30,DAL,17,16,Sun,W,L,24,22,2,-2,,-7,not covered,54,under
SDG,2013,2013-10-20,10,20,1:02,JAX,7,7,Sun,W,L,24,6,18,-18,,-7,covered,44.5,under
GNB,2013,2013-10-27,10,27,8:30,MIN,8,7,Sun,W,L,44,31,13,-13,,-7.5,covered,47.5,over
ARI,2013,2013-11-17,11,17,1:04,JAX,11,10,Sun,W,L,27,14,13,-13,,-9,covered,40.5,over
DEN,2013,2013-10-06,10,6,4:25,DAL,5,5,Sun,W,L,51,48,3,-3,,-9,not covered,56,over
IND,2013,2013-09-29,9,29,1:06,JAX,4,4,Sun,W,L,37,3,34,-34,,-9.5,covered,42.5,under
DEN,2013,2013-12-22,12,22,1:02,HOU,16,15,Sun,W,L,37,13,24,-24,,-9.5,covered,53,under
SEA,2013,2013-12-15,12,15,1:03,NYG,15,14,Sun,W,L,23,0,23,-23,,-9.5,covered,43.5,under
DEN,2013,2013-12-29,12,29,4:25,OAK,17,16,Sun,W,L,34,14,20,-20,,-10,covered,53.5,under
NWE,2013,2013-09-08,9,8,1:02,BUF,1,1,Sun,W,L,23,21,2,-2,,-10.5,not covered,50.5,under
DET,2013,2013-10-13,10,13,1:02,CLE,6,6,Sun,W,L,31,17,14,-14,,-2.5,covered,44,over
DET,2013,2013-12-29,12,29,1:05,MIN,17,16,Sun,L,W,13,14,-1,1,,-2.5,not covered,50,under
MIA,2013,2013-11-11,11,11,8:40,TAM,10,9,Mon,L,W,19,22,-3,3,,-2.5,not covered,39.5,over
PIT,2013,2013-10-27,10,27,4:05,OAK,8,7,Sun,L,W,18,21,-3,3,,-2.5,not covered,40,under
CAR,2013,2013-10-06,10,6,4:05,ARI,5,4,Sun,L,W,6,22,-16,16,,-3,not covered,41.5,under
CIN,2013,2013-10-31,10,31,8:29,MIA,9,9,Thu,L,W,20,22,-2,2,OT,-3,not covered,42,push
IND,2013,2013-11-14,11,14,8:29,TEN,11,10,Thu,W,L,30,27,3,-3,,-3,push,42,over
ARI,2013,2013-12-15,12,15,4:27,TEN,15,14,Sun,W,L,37,34,3,-3,OT,-3,push,43,over
DET,2013,2013-11-17,11,17,1:02,PIT,11,10,Sun,L,W,27,37,-10,10,,-3,not covered,45,over
GNB,2013,2013-09-22,9,22,1:03,CIN,3,3,Sun,L,W,30,34,-4,4,,-3,not covered,49.5,over
