Team1,symbol,Team2,Year,Date,MonthNo,DayNum,Time,Week,Game,Weekday,Team1WL,Team1Pts,Team2Pts,Margin,OT,Spread,vsLine,OU,OU Result
SEA,@,STL,2013,2013-10-28,10,28,8:30,8,8,Mon,W,14,9,5,,-13,not covered,43.5,under
SFO,@,JAX,2013,2013-10-27,10,27,1:07,8,8,Sun,W,42,10,32,,-14.5,covered,40,over
SFO,@,WAS,2013,2013-11-25,11,25,8:40,12,11,Mon,W,27,6,21,,-5,covered,45.5,under
CAR,@,ATL,2013,2013-12-29,12,29,1:05,17,16,Sun,W,21,20,1,,-5.5,not covered,46.5,under
NOR,@,NYJ,2013,2013-11-03,11,3,1:04,9,8,Sun,L,20,26,-6,,-5.5,not covered,45.5,over
CIN,@,BUF,2013,2013-10-13,10,13,1:02,6,6,Sun,W,27,24,3,OT,-6,not covered,41,over
DEN,@,IND,2013,2013-10-20,10,20,8:31,7,7,Sun,L,33,39,-6,,-6,not covered,54.5,over
DEN,@,KAN,2013,2013-12-01,12,1,4:26,13,12,Sun,W,35,28,7,,-6,covered,49.5,over
KAN,@,OAK,2013,2013-12-15,12,15,4:05,15,14,Sun,W,56,31,25,,-6,covered,44,over
TAM,@,NYJ,2013,2013-09-08,9,8,1:03,1,1,Sun,L,17,18,-1,,-6,not covered,40,under
CAR,@,TAM,2013,2013-10-24,10,24,8:29,8,7,Thu,W,31,13,18,,-6.5,covered,39,over
HOU,@,SDG,2013,2013-09-09,9,9,10:25,1,1,Mon,W,31,28,3,,-6.5,not covered,44,over
NWE,@,HOU,2013,2013-12-01,12,1,1:02,13,12,Sun,W,34,31,3,,-6.5,not covered,49,over
DEN,@,SDG,2013,2013-11-10,11,10,4:25,10,9,Sun,W,28,20,8,,-7,covered,56,under
NOR,@,ATL,2013,2013-11-21,11,21,8:30,12,11,Thu,W,17,13,4,,-7,not covered,52.5,under
NOR,@,STL,2013,2013-12-15,12,15,4:25,15,14,Sun,L,16,27,-11,,-7,not covered,47.5,under
PHI,@,MIN,2013,2013-12-15,12,15,1:02,15,14,Sun,L,30,48,-18,,-7,not covered,53,over
PHI,@,DAL,2013,2013-12-29,12,29,8:30,17,16,Sun,W,24,22,2,,-7,not covered,54,under
SDG,@,JAX,2013,2013-10-20,10,20,1:02,7,7,Sun,W,24,6,18,,-7,covered,44.5,under
GNB,@,MIN,2013,2013-10-27,10,27,8:30,8,7,Sun,W,44,31,13,,-7.5,covered,47.5,over
ARI,@,JAX,2013,2013-11-17,11,17,1:04,11,10,Sun,W,27,14,13,,-9,covered,40.5,over
DEN,@,DAL,2013,2013-10-06,10,6,4:25,5,5,Sun,W,51,48,3,,-9,not covered,56,over
